"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06011","Colusa","2012","73%","","7,448","Concentration: (not-detected)"
"06","California","06011","Colusa","2013","40%","","3,759","Concentration: (0-<=10)"
"06","California","06011","Colusa","2013","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2013","60%","","5,625","Concentration: (not-detected)"
"06","California","06011","Colusa","2014","26%","","2,436","Concentration: (0-<=10)"
"06","California","06011","Colusa","2014","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2014","74%","","6,948","Concentration: (not-detected)"
"06","California","06011","Colusa","2015","2%","","136","Concentration: (0-<=10)"
"06","California","06011","Colusa","2015","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2015","98%","","6,948","Concentration: (not-detected)"
"06","California","06011","Colusa","2016","26%","","2,436","Concentration: (0-<=10)"
"06","California","06011","Colusa","2016","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2016","74%","","6,948","Concentration: (not-detected)"
"06","California","06011","Colusa","2017","66%","","2,488","Concentration: (0-<=10)"
"06","California","06011","Colusa","2017","0%","","0","Concentration: (>10)"
