"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06011","Colusa","2008","90%","","9,248","Concentration: (0-<=10)"
"06","California","06011","Colusa","2008","10%","","1,038","Concentration: (>10)"
"06","California","06011","Colusa","2008","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2009","52%","","1,459","Concentration: (0-<=10)"
"06","California","06011","Colusa","2009","37%","","1,038","Concentration: (>10)"
"06","California","06011","Colusa","2009","11%","","320","Concentration: (not-detected)"
"06","California","06011","Colusa","2010","71%","","2,500","Concentration: (0-<=10)"
"06","California","06011","Colusa","2010","29%","","1,038","Concentration: (>10)"
"06","California","06011","Colusa","2010","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2011","90%","","5,981","Concentration: (0-<=10)"
"06","California","06011","Colusa","2011","10%","","682","Concentration: (>10)"
"06","California","06011","Colusa","2011","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2012","63%","","1,641","Concentration: (0-<=10)"
"06","California","06011","Colusa","2012","33%","","856","Concentration: (>10)"
"06","California","06011","Colusa","2012","5%","","120","Concentration: (not-detected)"
"06","California","06011","Colusa","2013","100%","","2,300","Concentration: (0-<=10)"
"06","California","06011","Colusa","2013","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2013","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2014","100%","","7,925","Concentration: (0-<=10)"
"06","California","06011","Colusa","2014","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2014","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2015","100%","","6,948","Concentration: (0-<=10)"
"06","California","06011","Colusa","2015","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2015","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2016","96%","","3,623","Concentration: (0-<=10)"
"06","California","06011","Colusa","2016","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2016","4%","","136","Concentration: (not-detected)"
